caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
31mar1982,-.00680519,-.01046301,-.003248183,-.008095661,778829619,500,786339703,500,111.96,-.01016709
30apr1982,.04155019,.04006276,.0476154,.04550077,810825172,500,776067017,499,116.44,.04001429
28may1982,-.02950482,-.03983362,-.04397152,-.05099987,781434082,500,810825172,500,111.88,-.0391618
30jun1982,-.01577948,-.01893363,-.007224769,-.01140115,769665113,500,779760754,498,109.61,-.0202896
30jul1982,-.02019917,-.02205789,-.0150975,-.01726759,743612136,500,760319904,497,107.09,-.0229906
31aug1982,.1274018,.1166471,.1293276,.1217314,841420395,500,744961686,498,119.51,.1159772
30sep1982,.01049643,.007716885,.01627501,.0125056,851212632,500,842347818,499,120.42,.007614425
29oct1982,.1138634,.1112347,.1439176,.141359,947740073,500,851742198,499,133.71,.1103637
30nov1982,.04575405,.03755433,.06006078,.05456768,983365521,500,947437346,500,138.54,.03612295
31dec1982,.01683527,.01467583,.0154722,.0123458,1006322600,500,981347644,500,140.64,.01515808
31jan1983,.03529269,.03331691,.03526193,.03316803,1039979280,500,1006313380,500,145.3,.03313424
28feb1983,.02573252,.01853856,.04099158,.03614367,1056784080,500,1037790260,500,148.06,.01899518
31mar1983,.03546959,.03245927,.05142348,.04800119,1095174060,500,1058008820,500,152.96,.03309469
29apr1983,.07571904,.07465503,.06873073,.06736451,1176235190,500,1094440010,499,164.42,.07492155
31may1983,-.005686544,-.01209984,.02578827,.02079725,1165217990,500,1174379240,498,162.39,-.01234643
30jun1983,.03697019,.03371895,.03163277,.02880246,1211352890,500,1164623730,499,168.11,.03522385
