permno,start,ending
25267,01mar1957,19jul2002
25320,01mar1957,31dec2018
25339,26oct1960,05jan1966
25371,01mar1957,12mar1996
25419,01apr1959,31dec2018
25478,16jan1964,19aug1987
25487,01may1995,31jul2006
25507,19jul1984,23jul1986
25515,19sep1963,14jan1976
25574,14dec1960,29feb1984
25582,01mar1957,13mar1963
25582,26jun1980,05nov1999
25582,22sep2008,31dec2018
25590,28sep1972,30jun1976
25611,01mar1957,05oct1966
25611,28jun1984,11dec1985
25646,01mar1957,12jul1967
25646,11feb1988,26sep1994
25662,01mar1957,15sep1982
25670,27may1959,14dec1960
25689,01mar1957,20sep1972
25697,01mar1957,16oct1974
25697,03mar1977,10mar1982
25718,14mar1963,07apr1982
25742,20apr1960,28dec1960
25769,04oct1984,10aug2006
25778,09jul1987,05nov2018
25785,01mar1957,31dec2018
25873,04nov1965,24oct1984
25902,07jan1965,30may1973
25910,28dec1960,30jun1994
25953,24oct1985,31dec2018
25988,18may1967,20nov1985
26075,29sep1966,01nov2000
26112,01feb1968,18aug2005
26120,17jan1963,09mar1983
26155,23jun1966,17mar1976
26286,23sep1976,02aug1989
26294,25mar1959,16oct1974
26294,05oct1978,17mar1994
26307,11jan1979,26dec1979
26323,29jul1959,17may1967
26332,02apr2001,26feb2004
26366,09apr1958,05may1976
26382,17jan1980,21dec2000
26382,23jun2008,01jun2011
26390,08feb1979,26jul1989
26403,01jul1976,31dec2018
26438,30jan1964,11dec2000
26446,27may1959,28oct1970
26462,23apr1970,30mar1977
26497,01jul1976,08sep1982
26518,08may1986,26oct2007
26534,19aug1971,31dec1982
26542,05oct1978,11dec1996
26550,01jul1976,29mar1996
26569,29may1969,13dec1978
26622,29aug1963,10may1989
26649,08aug1968,02aug1989
26657,10dec1958,29aug2000
26681,24apr1980,02nov1995
26710,10may1995,31dec2018
26729,14oct1965,31jul1997
26737,18oct1962,30jun1976
26737,02jan1997,28sep1999
26788,15dec1966,19oct1983
26825,26apr1961,31dec2018
26884,08may1986,24mar1999
26921,28dec1960,13mar1963
26921,12sep1968,25feb1981
27000,17jun1965,30jun1976
27027,14dec1960,09nov1988
27043,06oct1966,16oct1974
27043,12feb2007,31dec2018
27051,13apr1967,01apr1999
27086,13jul1967,28dec1990
27087,10jan1991,29sep1994
27115,17jun1965,01jul1997
27158,13jul1960,22apr1970
27174,14jan1965,24oct1984
27182,08feb1961,16jun1965
27190,14sep1972,20nov1985
27238,12sep1968,10dec1975
27263,31dec1990,28apr1998
27297,17jun1965,10aug1983
27342,21oct1965,12aug1981
27422,21dec2009,01apr2014
27430,25may1990,17jul2006
27465,08feb1961,13sep1972
27473,22jun1960,10feb1988
27510,16aug1961,09sep1981
27537,14dec1960,26jul1967
27561,31dec1925,14dec1966
27596,18jan1968,26nov1997
